Rank,Name,Title,Country,Rating,Games,Year,Age,Date,Margin
1,"Kasparov, Garry",g,RUS,2849,35,2000,37,2000-07-01,79.0
2,"Kramnik, Vladimir",g,RUS,2770,23,2000,25,2000-07-01,0.0
1,"Kasparov, Garry",g,RUS,2849,0,2000,37,2000-10-01,75.0
2,"Anand, Viswanathan",g,IND,2774,19,2000,31,2000-10-01,0.0
1,"Kasparov, Garry",g,RUS,2849,0,2001,38,2001-01-01,59.0
2,"Anand, Viswanathan",g,IND,2790,16,2001,32,2001-01-01,0.0
1,"Kasparov, Garry",g,RUS,2827,38,2001,38,2001-04-01,25.0
2,"Kramnik, Vladimir",g,RUS,2802,28,2001,26,2001-04-01,0.0
1,"Kasparov, Garry",g,RUS,2838,10,2001,38,2001-07-01,36.0
2,"Kramnik, Vladimir",g,RUS,2802,10,2001,26,2001-07-01,0.0
1,"Kasparov, Garry",g,RUS,2838,0,2001,38,2001-10-01,29.0
2,"Kramnik, Vladimir",g,RUS,2809,10,2001,26,2001-10-01,0.0
1,"Kasparov, Garry",g,RUS,2838,0,2002,39,2002-01-01,29.0
2,"Kramnik, Vladimir",g,RUS,2809,0,2002,27,2002-01-01,0.0
1,"Kasparov, Garry",g,RUS,2838,12,2002,39,2002-04-01,29.0
2,"Kramnik, Vladimir",g,RUS,2809,0,2002,27,2002-04-01,0.0
1,"Kasparov, Garry",g,RUS,2838,0,2002,39,2002-07-01,31.0
2,"Kramnik, Vladimir",g,RUS,2807,3,2002,27,2002-07-01,0.0
1,"Kasparov, Garry",g,RUS,2836,0,2002,39,2002-10-01,27.0
2,"Kramnik, Vladimir",g,RUS,2809,0,2002,27,2002-10-01,0.0
1,"Kasparov, Garry",g,RUS,2847,9,2003,40,2003-01-01,38.0
2,"Kramnik, Vladimir",g,RUS,2809,0,2003,28,2003-01-01,0.0
1,"Kasparov, Garry",g,RUS,2830,12,2003,40,2003-04-01,41.0
2,"Kramnik, Vladimir",g,RUS,2789,25,2003,28,2003-04-01,0.0
1,"Kasparov, Garry",g,RUS,2830,0,2003,40,2003-07-01,45.0
2,"Kramnik, Vladimir",g,RUS,2785,2,2003,28,2003-07-01,0.0
1,"Kasparov, Garry",g,RUS,2830,0,2003,40,2003-10-01,53.0
2,"Kramnik, Vladimir",g,RUS,2777,11,2003,28,2003-10-01,0.0
1,"Kasparov, Garry",g,RUS,2831,6,2004,41,2004-01-01,54.0
2,"Kramnik, Vladimir",g,RUS,2777,0,2004,29,2004-01-01,0.0
1,"Kasparov, Garry",g,RUS,2817,12,2004,41,2004-04-01,43.0
2,"Anand, Viswanathan",g,IND,2774,13,2004,35,2004-04-01,0.0
1,"Kasparov, Garry",g,RUS,2817,0,2004,41,2004-07-01,35.0
2,"Anand, Viswanathan",g,IND,2782,9,2004,35,2004-07-01,0.0
1,"Kasparov, Garry",g,RUS,2813,6,2004,41,2004-10-01,32.0
2,"Anand, Viswanathan",g,IND,2781,16,2004,35,2004-10-01,0.0
1,"Kasparov, Garry",g,RUS,2804,16,2005,42,2005-01-01,18.0
2,"Anand, Viswanathan",g,IND,2786,11,2005,36,2005-01-01,0.0
1,"Kasparov, Garry",g,RUS,2812,12,2005,42,2005-04-01,27.0
2,"Anand, Viswanathan",g,IND,2785,25,2005,36,2005-04-01,0.0
1,"Kasparov, Garry",g,RUS,2812,0,2005,42,2005-07-01,24.0
2,"Anand, Viswanathan",g,IND,2788,18,2005,36,2005-07-01,0.0
1,"Kasparov, Garry",g,RUS,2812,0,2005,42,2005-10-01,24.0
2,"Anand, Viswanathan",g,IND,2788,0,2005,36,2005-10-01,0.0
1,"Kasparov, Garry",g,RUS,2812,0,2006,43,2006-01-01,11.0
2,"Topalov, Veselin",g,BUL,2801,14,2006,31,2006-01-01,0.0
1,"Topalov, Veselin",g,BUL,2804,27,2006,31,2006-04-01,1.0
2,"Anand, Viswanathan",g,IND,2803,13,2006,37,2006-04-01,0.0
1,"Topalov, Veselin",g,BUL,2813,14,2006,31,2006-07-01,34.0
2,"Anand, Viswanathan",g,IND,2779,26,2006,37,2006-07-01,0.0
1,"Topalov, Veselin",g,BUL,2813,0,2006,31,2006-10-01,34.0
2,"Anand, Viswanathan",g,IND,2779,0,2006,37,2006-10-01,0.0
1,"Topalov, Veselin",g,BUL,2783,17,2007,32,2007-01-01,4.0
2,"Anand, Viswanathan",g,IND,2779,0,2007,38,2007-01-01,0.0
1,"Anand, Viswanathan",g,IND,2786,27,2007,38,2007-04-01,14.0
2,"Topalov, Veselin",g,BUL,2772,27,2007,32,2007-04-01,0.0
1,"Anand, Viswanathan",g,IND,2792,4,2007,38,2007-07-01,23.0
2,"Topalov, Veselin",g,BUL,2769,10,2007,32,2007-07-01,0.0
1,"Anand, Viswanathan",g,IND,2801,21,2007,38,2007-10-01,14.0
2,"Ivanchuk, Vassily",g,UKR,2787,20,2007,38,2007-10-01,0.0
1,"Kramnik, Vladimir",g,RUS,2799,9,2008,33,2008-01-01,0.0
2,"Anand, Viswanathan",g,IND,2799,3,2008,39,2008-01-01,0.0
1,"Anand, Viswanathan",g,IND,2803,27,2008,39,2008-04-01,15.0
2,"Kramnik, Vladimir",g,RUS,2788,13,2008,33,2008-04-01,0.0
1,"Anand, Viswanathan",g,IND,2798,2,2008,39,2008-07-01,10.0
2,"Morozevich, Alexander",g,RUS,2788,20,2008,31,2008-07-01,0.0
